player,hits,damage_taken,fight_count,av_hit
Earrl,54,41748348,41,1.3170731707317074
Divanance,85,76603808,40,2.125
Psychodruid,175,208701876,33,5.303030303030303
Metonymy,260,341066749,41,6.341463414634147
Vaelyra,239,265888853,36,6.638888888888889
Cagliostro,251,311661040,37,6.783783783783784
Shadowbaine,248,329627773,34,7.294117647058823
Velryssa,243,285234938,31,7.838709677419355
Ayriea,306,380213211,39,7.846153846153846
Petrol,323,414587668,41,7.878048780487805
Shallowfall,302,302793733,38,7.947368421052632
Future,340,389650253,40,8.5
Acturus,365,454436745,41,8.902439024390244
Brian,371,464126419,41,9.048780487804878
Illestra,388,448449082,39,9.948717948717949
Radiantldeal,398,465657853,40,9.95
Mythrose,433,542841491,41,10.560975609756097
